time_ms,bme_temp,dht_temp
275747,29.92,30.20
277773,29.91,30.30
279799,29.91,30.30
281825,29.91,30.30
283851,29.92,30.20
285877,29.92,30.30
287903,29.92,30.30
289929,29.92,30.30
291956,29.92,30.30
293982,29.91,30.30
296008,29.91,30.30
298034,29.91,30.30
300060,29.90,30.30
302086,29.89,30.30
304112,29.90,30.20
306139,29.90,30.20
308165,29.90,30.20
310191,29.89,30.20
312217,29.90,30.20
314243,29.90,30.20
316269,29.91,30.20
318295,29.91,30.20
320321,29.91,30.20
322347,29.91,30.20
324373,29.91,30.20
326399,29.91,30.20
328425,29.90,30.20
330451,29.91,30.20
332477,29.91,30.20
334504,29.91,30.20
336530,29.91,30.20
338556,29.90,30.20
340582,29.90,30.20
342608,29.91,30.20
344634,29.90,30.20
346660,29.90,30.20
348686,29.90,30.20
350712,29.90,30.20
352738,29.89,30.20
354764,29.89,30.20
356790,29.89,30.20
358816,29.89,30.20
360842,29.89,30.20
362868,29.88,30.20
364894,29.88,30.20
366920,29.89,30.20
368946,29.88,30.20
370973,29.88,30.20
372999,29.89,30.20
375025,29.88,30.20
377051,29.89,30.20
379077,29.89,30.20
381103,29.89,30.20
383129,29.88,30.20
385155,29.88,30.20
387181,29.87,30.20
389208,29.86,30.10
391234,29.86,30.10
393260,29.86,30.10
395286,29.86,30.10
397312,29.86,30.10
399338,29.87,30.10
401364,29.86,30.10
403390,29.85,30.10
405416,29.85,30.10
407442,29.85,30.10
409468,29.85,30.10
411494,29.85,30.10
413520,29.86,30.10
415546,29.85,30.10
417572,29.85,30.10
419599,29.85,30.10
421625,29.86,30.10
423651,29.85,30.10
425677,29.85,30.10
427703,29.85,30.10
429729,29.84,30.10
431755,29.83,30.10
433781,29.83,30.10
435807,29.83,30.10
437833,29.82,30.10
439859,29.81,30.10
441885,29.81,30.10
443911,29.81,30.10
445937,29.81,30.10
447963,29.81,30.10
449989,29.81,30.10
452015,29.80,30.10
454042,29.81,30.10
456068,29.81,30.10
458094,29.81,30.10
460120,29.82,30.10
462145,29.82,30.10
464171,29.81,30.10
466197,29.80,30.10
468223,29.81,30.10
470249,29.81,30.10
472275,29.82,30.10
474301,29.81,30.10
476327,29.82,30.10
478353,29.82,30.10
480379,29.82,30.10
482405,29.81,30.10
484431,29.81,30.10
486458,29.80,30.10
488484,29.80,30.10
490510,29.79,30.10
492536,29.79,30.10
494562,29.78,30.10
496588,29.78,30.10
498614,29.77,30.00
500640,29.76,30.00
502666,29.77,30.00
504693,29.75,30.00
506719,29.77,30.00
508745,29.76,30.00
510771,29.76,30.00
512797,29.77,30.00
514823,29.76,30.00
516849,29.77,30.00
518875,29.77,30.00
520901,29.78,30.00
522927,29.77,30.00
524954,29.77,30.00
526980,29.76,30.00
529006,29.76,30.00
531032,29.76,30.00
533058,29.75,30.00
535084,29.75,30.00
537110,29.75,30.00
539136,29.75,30.00
541162,29.75,30.00
543188,29.75,30.00
545214,29.75,30.00
547240,29.75,30.00
549266,29.75,30.00
551292,29.75,30.00
553318,29.76,30.00
555344,29.75,30.00
557370,29.76,30.00
559396,29.75,30.00
561422,29.74,30.00
563448,29.74,30.00
565475,29.74,30.00
567501,29.73,30.00
569527,29.73,30.00
571553,29.73,30.00
573579,29.72,29.90
575605,29.72,30.00
577631,29.71,29.90
579657,29.71,29.90
581683,29.71,29.90
583709,29.71,29.90
585735,29.72,29.90
587762,29.72,29.90
589788,29.72,29.90
591814,29.72,29.90
593840,29.72,29.90
595866,29.72,29.90
597892,29.71,29.90
599918,29.71,29.90
601945,29.71,29.90
603971,29.70,29.90
605997,29.71,29.90
608023,29.71,29.90
610049,29.71,29.90
612075,29.71,29.90
614101,29.72,29.90
616128,29.71,29.90
618154,29.72,29.90
620180,29.71,29.90
622206,29.72,29.90
624232,29.71,29.90
626258,29.71,29.90
628285,29.71,29.90
630312,29.71,29.90
632338,29.71,29.90
634364,29.71,29.90
636390,29.70,29.90
638416,29.70,29.90
640442,29.70,29.90
642468,29.70,29.90
644495,29.70,29.90
646521,29.69,29.90
648547,29.70,29.90
650573,29.69,29.90
652599,29.69,29.90
654625,29.69,29.90
656651,29.68,29.90
658678,29.69,29.90
660704,29.68,29.90
662730,29.68,29.90
664756,29.67,29.90
666782,29.68,29.90
668808,29.67,29.90
670834,29.67,29.90
672861,29.67,29.90
674887,29.67,29.90
676913,29.66,29.90
678939,29.67,29.90
680965,29.66,29.90
682991,29.66,29.90
685017,29.66,29.90
687044,29.65,29.90
689070,29.65,29.90
691096,29.65,29.90
693122,29.65,29.90
695148,29.65,29.90
697174,29.65,29.90
699200,29.65,29.90
701227,29.66,29.90
703253,29.65,29.90
705279,29.66,29.90
707305,29.66,29.90
709332,29.66,29.90
711358,29.65,29.90
713384,29.66,29.90
715411,29.66,29.90
717437,29.65,29.90
719463,29.66,29.90
721489,29.65,29.90
723515,29.66,29.90
725541,29.66,29.90
727567,29.65,29.90
729594,29.65,29.90
731620,29.65,29.90
733646,29.66,29.90
735672,29.66,29.90
737698,29.66,29.90
739724,29.66,29.90
741750,29.66,29.90
743777,29.66,29.90
745803,29.66,29.90
747829,29.66,29.90
749855,29.65,29.90
751881,29.66,29.90
753907,29.65,29.90
755933,29.65,29.90
757960,29.65,29.90
759986,29.64,29.90
762012,29.65,29.90
764038,29.64,29.90
766064,29.64,29.90
768090,29.64,29.90
770116,29.64,29.90
772143,29.64,29.90
774169,29.65,29.90
776195,29.65,29.90
778221,29.65,29.90
780247,29.65,29.90
782273,29.65,29.90
784300,29.65,29.90
786326,29.65,29.90
788352,29.65,29.90
790378,29.65,29.90
792404,29.65,29.90
794431,29.65,29.90
796457,29.66,29.90
798483,29.65,29.90
800509,29.65,29.90
802535,29.66,29.90
804561,29.65,29.90
806587,29.65,29.90
808614,29.65,29.90
810640,29.64,29.90
812666,29.65,29.90
814692,29.65,29.90
816718,29.64,29.90
818744,29.64,29.90
820770,29.64,29.90
822797,29.64,29.90
824823,29.65,29.90
826849,29.65,29.90
828875,29.64,29.90
830901,29.65,29.90
832927,29.65,29.90
834953,29.65,29.90
836980,29.65,29.90
839006,29.65,29.90
841032,29.65,29.90
843058,29.65,29.90
845084,29.65,29.90
847110,29.64,29.90
849136,29.64,29.90
851163,29.64,29.90
853189,29.64,29.90
855215,29.64,29.90
857241,29.64,29.90
859267,29.64,29.90
861293,29.64,29.90
863320,29.64,29.90
865346,29.64,29.90
867372,29.64,29.90
869397,29.64,29.90
871423,29.64,29.90
873449,29.64,29.90
875475,29.64,29.90
877501,29.64,29.90
879528,29.64,29.90
881554,29.63,29.90
883580,29.63,29.90
885606,29.63,29.90
887632,29.63,29.90
889658,29.63,29.90
891684,29.64,29.90
893711,29.64,29.90
895737,29.64,29.90
897763,29.64,29.90
899789,29.64,29.90
901815,29.63,29.90
903841,29.63,29.90
905867,29.63,29.90
907894,29.64,29.90
909920,29.63,29.90
911946,29.64,29.90
913972,29.65,29.90
915998,29.66,29.90
918024,29.65,29.90
920050,29.65,29.90
922077,29.65,29.90
924103,29.65,29.90
926129,29.64,29.90
928155,29.64,29.90
930181,29.64,29.90
932207,29.63,29.90
934233,29.64,29.90
936260,29.63,29.90
938286,29.63,29.90
940312,29.63,29.90
942338,29.63,29.90
944365,29.63,29.90
946391,29.64,29.90
948417,29.63,29.90
950443,29.64,29.90
952469,29.64,29.90
954495,29.63,29.90
956521,29.64,29.90
958548,29.63,29.90
960574,29.63,29.90
962600,29.63,29.90
964626,29.62,29.90
966652,29.63,29.90
968678,29.64,29.90
970704,29.64,29.90
972731,29.64,29.90
974757,29.64,29.90
976783,29.64,29.90
978809,29.65,29.90
980835,29.65,29.90
982861,29.65,29.90
984887,29.65,29.90
986914,29.65,29.90
988940,29.65,29.90
990966,29.65,29.90
992992,29.65,29.90
995018,29.66,29.90
997044,29.65,29.90
999070,29.65,29.90
1001097,29.65,29.90
1003123,29.66,29.90
1005149,29.66,29.90
1007175,29.66,29.90
1009201,29.66,29.90
1011227,29.66,29.90
1013254,29.66,29.90
1015280,29.66,29.90
1017306,29.65,29.90
1019332,29.65,29.90
1021358,29.65,29.90
1023385,29.65,29.90
1025411,29.65,29.90
1027437,29.65,29.90
1029464,29.65,29.90
1031490,29.65,29.90
